,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Max
0,0.0,145.43671538733344,0.0,0.0,-126.0,145.43671538733344
1,123.29810601632494,116.46965339949077,340.5031854389139,93.1903791646846,200.55763535431896,340.5031854389139
2,216.71833859669982,-63.0,-126.0,420.26095395012294,186.971186266774,420.26095395012294
3,0.0,-26.096957673856593,50.96513762983639,0.0,-63.0,50.96513762983639
4,0.0,44.31413926472294,-126.0,294.12238641138225,68.52562165761529,294.12238641138225
5,291.6415544510703,140.9182876167643,-126.0,0.0,170.13971668376843,291.6415544510703
6,0.0,172.01822252629657,271.81580148575256,-126.0,-126.0,271.81580148575256
7,81.71901854595566,-63.0,0.0,0.0,-63.0,81.71901854595566
8,292.52469225093233,250.33276548865234,0.0,-63.0,-126.0,292.52469225093233
9,0.0,0.0,0.0,0.0,0.0,0.0
10,93.40731495608546,125.3988932922399,-63.0,162.21031929672233,-189.0,162.21031929672233
11,0.0,139.17269478766823,0.0,0.0,0.0,139.17269478766823
12,-4.830213091685636,0.0,60.318316191601866,142.1502279386827,-63.0,142.1502279386827
13,0.0,150.0440614920978,103.73855950443394,0.0,135.4924005711205,150.0440614920978
14,0.0,-36.55269706155258,0.0,102.77305480193644,-63.0,102.77305480193644
15,-126.0,166.4907946704418,-63.0,-126.0,103.41474782427048,166.4907946704418
16,0.0,0.0,-63.0,0.0,0.0,0.0
17,0.0,117.82570170244908,-63.0,-63.0,69.20673179426657,117.82570170244908
18,236.19802917486572,0.0,63.46218565743925,176.61958175218615,0.0,236.19802917486572
19,0.0,150.25010530189218,0.0,18.882522148519598,0.0,150.25010530189218
20,219.2303407393125,323.12615021806874,-189.0,-63.0,-252.0,323.12615021806874
21,0.0,0.0,0.0,-63.0,0.0,0.0
22,-63.0,298.3852768081362,271.2317784778585,0.0,-63.0,298.3852768081362
23,73.70265644765726,0.0,254.50232280182303,-2.065197408162362,123.45322123565268,254.50232280182303
24,372.42641825018717,-189.0,-63.0,123.6700821910631,266.64498406627007,372.42641825018717
25,-63.0,205.20693677120155,-63.0,-64.32747179827325,262.0931362140463,262.0931362140463
26,-126.0,0.7125768439346558,-63.0,0.0,351.17493149185935,351.17493149185935
27,0.0,0.0,0.0,0.0,-63.0,0.0
28,-63.0,-50.28325447147748,-63.0,189.0326593837674,331.24671619219953,331.24671619219953
29,0.0,95.75036411308356,197.08862184799284,87.16931519525764,0.0,197.08862184799284
30,-63.0,133.41350681388195,-155.21278913506276,-97.90540715162123,678.3453118759187,678.3453118759187
31,0.0,0.0,0.0,0.0,133.01939373342248,133.01939373342248
32,486.7258783086652,6.727693082890909,-63.0,-63.0,-63.0,486.7258783086652
33,-63.0,146.09472275389493,-126.0,179.8472537165968,105.17718816478651,179.8472537165968
34,0.0,119.87782246230483,162.35647770010235,-63.0,0.0,162.35647770010235
35,0.0,-126.0,179.92404896645235,187.89879588581042,0.0,187.89879588581042
36,0.0,-63.0,0.0,126.11360574509733,0.0,126.11360574509733
